Canada, Senna, McLaren Honda, 01:25.0, 1988
Detroit, Prost, McLaren Honda, 01:44.8, 1988
France, Prost, McLaren Honda, 01:11.7, 1988
Great Britain, Mansell, Williams Judd, 01:23.3, 1988
Germany, Nannini, Benetton Ford, 02:03.0, 1988
Hungary, Prost, McLaren Honda, 01:30.6, 1988
Belgium, Berger, Ferrari, 02:00.8, 1988
Italy, Alboreto, Ferrari, 01:29.1, 1988
Portugal, Berger, Ferrari, 01:22.0, 1988
Spain, Prost, McLaren Honda, 01:27.8, 1988
Japan, Senna, McLaren Honda, 01:46.3, 1988
Australia, Prost, McLaren Honda, 01:21.2, 1988
Brazil, Patrese, Williams Renault, 01:32.5, 1989
San Marino, Prost, McLaren Honda, 01:26.8, 1989
Monaco, Prost, McLaren Honda, 01:25.5, 1989
Mexico, Mansell, Ferrari, 01:20.4, 1989
United States, Senna, McLaren Honda, 01:34.0, 1989
Canada, Palmer, Tyrrell Ford, 01:31.9, 1989
France, Gugelmin, March Judd, 01:12.1, 1989
Great Britain, Mansell, Ferrari, 01:12.0, 1989
Germany, Senna, McLaren Honda, 01:45.9, 1989
Hungary, Mansell, Ferrari, 01:22.6, 1989
Belgium, Prost, McLaren Honda, 02:11.6, 1989
Italy, Prost, McLaren Honda, 01:28.1, 1989
Portugal, Berger, Ferrari, 01:19.0, 1989
Spain, Senna, McLaren Honda, 01:25.8, 1989
Japan, Prost, McLaren Honda, 01:43.5, 1989
Australia, Nakajima, Lotus Judd, 01:38.5, 1989
United States, Berger, McLaren Honda, 01:31.1, 1990
Brazil, Berger, McLaren Honda, 01:19.9, 1990
San Marino, Nannini, Benetton Ford, 01:27.2, 1990
Monaco, Senna, McLaren Honda, 01:24.5, 1990
Canada, Berger, McLaren Honda, 01:22.1, 1990
Mexico, Prost, Ferrari, 01:18.0, 1990
France, Mansell, Ferrari, 01:08.0, 1990
Great Britain, Mansell, Ferrari, 01:11.3, 1990
Germany, Boutsen, Williams Renault, 01:45.6, 1990
Hungary, Patrese, Williams Renault, 01:22.1, 1990
Belgium, Prost, Ferrari, 01:55.1, 1990
Italy, Senna, McLaren Honda, 01:26.3, 1990
Portugal, Patrese, Williams Renault, 01:18.3, 1990
Spain, Patrese, Williams Renault, 01:24.5, 1990
Japan, Patrese, Williams Renault, 01:44.2, 1990
Australia, Mansell, Ferrari, 01:18.2, 1990
United States, Alesi, Ferrari, 01:26.8, 1991
Brazil, Mansell, Williams Renault, 01:20.4, 1991
San Marino, Berger, McLaren Honda, 01:26.5, 1991
